,G1,G2,score
146,ENSG00000006788,ENSG00000100678,1
147,ENSG00000006788,ENSG00000101306,1
148,ENSG00000006788,ENSG00000101470,1
149,ENSG00000006788,ENSG00000101605,1
150,ENSG00000006788,ENSG00000101892,1
151,ENSG00000006788,ENSG00000104848,1
152,ENSG00000006788,ENSG00000104879,1
153,ENSG00000006788,ENSG00000105048,1
154,ENSG00000006788,ENSG00000108515,1
155,ENSG00000006788,ENSG00000108823,1
156,ENSG00000006788,ENSG00000109061,1
157,ENSG00000006788,ENSG00000109063,1
158,ENSG00000006788,ENSG00000111241,1
159,ENSG00000006788,ENSG00000111245,1
160,ENSG00000006788,ENSG00000114854,1
161,ENSG00000006788,ENSG00000115593,1
162,ENSG00000006788,ENSG00000116748,1
163,ENSG00000006788,ENSG00000116981,1
164,ENSG00000006788,ENSG00000120729,1
165,ENSG00000006788,ENSG00000122180,1
166,ENSG00000006788,ENSG00000122367,1
167,ENSG00000006788,ENSG00000122477,1
168,ENSG00000006788,ENSG00000124701,1
169,ENSG00000006788,ENSG00000125414,1
170,ENSG00000006788,ENSG00000128591,1
171,ENSG00000006788,ENSG00000129170,1
172,ENSG00000006788,ENSG00000129744,1
173,ENSG00000006788,ENSG00000130528,1
174,ENSG00000006788,ENSG00000130595,1
175,ENSG00000006788,ENSG00000130598,1
176,ENSG00000006788,ENSG00000130957,1
177,ENSG00000006788,ENSG00000131730,1
178,ENSG00000006788,ENSG00000133020,1
179,ENSG00000006788,ENSG00000133055,1
180,ENSG00000006788,ENSG00000133454,1
181,ENSG00000006788,ENSG00000133878,1
182,ENSG00000006788,ENSG00000138100,1
183,ENSG00000006788,ENSG00000138347,1
184,ENSG00000006788,ENSG00000139780,1
185,ENSG00000006788,ENSG00000139914,1
186,ENSG00000006788,ENSG00000141161,1
187,ENSG00000006788,ENSG00000142661,1
188,ENSG00000006788,ENSG00000143028,1
189,ENSG00000006788,ENSG00000143318,1
190,ENSG00000006788,ENSG00000143632,1
191,ENSG00000006788,ENSG00000146147,1
192,ENSG00000006788,ENSG00000146809,1
193,ENSG00000006788,ENSG00000146926,1
194,ENSG00000006788,ENSG00000147166,1
195,ENSG00000006788,ENSG00000151729,1
196,ENSG00000006788,ENSG00000154358,1
197,ENSG00000006788,ENSG00000154415,1
198,ENSG00000006788,ENSG00000155657,1
199,ENSG00000006788,ENSG00000156885,1
200,ENSG00000006788,ENSG00000157119,1
201,ENSG00000006788,ENSG00000158022,1
202,ENSG00000006788,ENSG00000159173,1
203,ENSG00000006788,ENSG00000160097,1
204,ENSG00000006788,ENSG00000160808,1
205,ENSG00000006788,ENSG00000162461,1
206,ENSG00000006788,ENSG00000162494,1
207,ENSG00000006788,ENSG00000163092,1
208,ENSG00000006788,ENSG00000163126,1
209,ENSG00000006788,ENSG00000163157,1
210,ENSG00000006788,ENSG00000163380,1
211,ENSG00000006788,ENSG00000163827,1
212,ENSG00000006788,ENSG00000163833,1
213,ENSG00000006788,ENSG00000164122,1
214,ENSG00000006788,ENSG00000164309,1
215,ENSG00000006788,ENSG00000164440,1
216,ENSG00000006788,ENSG00000164708,1
217,ENSG00000006788,ENSG00000164879,1
218,ENSG00000006788,ENSG00000165192,1
219,ENSG00000006788,ENSG00000165887,1
220,ENSG00000006788,ENSG00000166343,1
221,ENSG00000006788,ENSG00000168333,1
222,ENSG00000006788,ENSG00000168334,1
223,ENSG00000006788,ENSG00000168509,1
224,ENSG00000006788,ENSG00000168530,1
225,ENSG00000006788,ENSG00000170162,1
226,ENSG00000006788,ENSG00000170290,1
227,ENSG00000006788,ENSG00000170681,1
228,ENSG00000006788,ENSG00000170807,1
229,ENSG00000006788,ENSG00000172399,1
230,ENSG00000006788,ENSG00000173991,1
231,ENSG00000006788,ENSG00000174429,1
232,ENSG00000006788,ENSG00000175084,1
233,ENSG00000006788,ENSG00000175564,1
234,ENSG00000006788,ENSG00000177354,1
235,ENSG00000006788,ENSG00000177752,1
236,ENSG00000006788,ENSG00000177791,1
237,ENSG00000006788,ENSG00000180209,1
238,ENSG00000006788,ENSG00000182533,1
239,ENSG00000006788,ENSG00000182676,1
240,ENSG00000006788,ENSG00000183091,1
241,ENSG00000006788,ENSG00000184544,1
242,ENSG00000006788,ENSG00000185105,1
243,ENSG00000006788,ENSG00000185271,1
244,ENSG00000006788,ENSG00000185482,1
245,ENSG00000006788,ENSG00000185739,1
246,ENSG00000006788,ENSG00000186335,1
247,ENSG00000006788,ENSG00000186439,1
248,ENSG00000006788,ENSG00000186628,1
249,ENSG00000006788,ENSG00000188716,1
250,ENSG00000006788,ENSG00000196091,1
251,ENSG00000006788,ENSG00000196218,1
252,ENSG00000006788,ENSG00000196296,1
253,ENSG00000006788,ENSG00000197616,1
254,ENSG00000006788,ENSG00000197893,1
255,ENSG00000006788,ENSG00000198125,1
256,ENSG00000006788,ENSG00000198467,1
257,ENSG00000006788,ENSG00000198523,1
258,ENSG00000006788,ENSG00000198842,1
259,ENSG00000006788,ENSG00000198881,1
260,ENSG00000006788,ENSG00000205678,1
261,ENSG00000006788,ENSG00000206422,1
262,ENSG00000006788,ENSG00000213337,1
263,ENSG00000006788,ENSG00000214097,1
264,ENSG00000006788,ENSG00000214872,1
265,ENSG00000006788,ENSG00000234438,1
266,ENSG00000006788,ENSG00000239474,1
267,ENSG00000006788,ENSG00000240045,1
268,ENSG00000006788,ENSG00000248713,1
269,ENSG00000006788,ENSG00000248746,1
270,ENSG00000006788,ENSG00000251569,1
271,ENSG00000006788,ENSG00000264424,1
272,ENSG00000006788,ENSG00000273540,1
273,ENSG00000007520,ENSG00000086504,1
274,ENSG00000007520,ENSG00000095906,1
275,ENSG00000008128,ENSG00000248333,1
276,ENSG00000008226,ENSG00000060971,1
277,ENSG00000009950,ENSG00000076555,1
278,ENSG00000009950,ENSG00000181234,1
279,ENSG00000010282,ENSG00000005981,1
280,ENSG00000010282,ENSG00000006788,1
281,ENSG00000010282,ENSG00000068976,1
282,ENSG00000010282,ENSG00000070808,1
283,ENSG00000010282,ENSG00000077009,1
284,ENSG00000010282,ENSG00000077522,1
285,ENSG00000010282,ENSG00000078328,1
286,ENSG00000010282,ENSG00000081248,1
287,ENSG00000010282,ENSG00000086967,1
288,ENSG00000010282,ENSG00000091482,1
289,ENSG00000010282,ENSG00000092054,1
290,ENSG00000010282,ENSG00000092529,1
291,ENSG00000010282,ENSG00000100628,1
292,ENSG00000010282,ENSG00000100678,1
293,ENSG00000010282,ENSG00000101306,1
294,ENSG00000010282,ENSG00000101470,1
295,ENSG00000010282,ENSG00000101605,1
296,ENSG00000010282,ENSG00000101892,1
297,ENSG00000010282,ENSG00000104848,1
298,ENSG00000010282,ENSG00000104879,1
299,ENSG00000010282,ENSG00000105048,1
300,ENSG00000010282,ENSG00000108515,1
301,ENSG00000010282,ENSG00000108823,1
302,ENSG00000010282,ENSG00000109061,1
303,ENSG00000010282,ENSG00000109063,1
304,ENSG00000010282,ENSG00000111241,1
305,ENSG00000010282,ENSG00000111245,1
306,ENSG00000010282,ENSG00000114854,1
307,ENSG00000010282,ENSG00000115593,1
308,ENSG00000010282,ENSG00000116748,1
309,ENSG00000010282,ENSG00000116981,1
310,ENSG00000010282,ENSG00000120729,1
311,ENSG00000010282,ENSG00000122180,1
312,ENSG00000010282,ENSG00000122367,1
313,ENSG00000010282,ENSG00000122477,1
314,ENSG00000010282,ENSG00000124701,1
315,ENSG00000010282,ENSG00000125414,1
316,ENSG00000010282,ENSG00000128591,1
317,ENSG00000010282,ENSG00000129170,1
318,ENSG00000010282,ENSG00000129744,1
319,ENSG00000010282,ENSG00000130528,1
320,ENSG00000010282,ENSG00000130595,1
321,ENSG00000010282,ENSG00000130598,1
322,ENSG00000010282,ENSG00000130957,1
323,ENSG00000010282,ENSG00000131730,1
324,ENSG00000010282,ENSG00000133020,1
325,ENSG00000010282,ENSG00000133055,1
326,ENSG00000010282,ENSG00000133454,1
327,ENSG00000010282,ENSG00000133878,1
328,ENSG00000010282,ENSG00000138100,1
329,ENSG00000010282,ENSG00000138347,1
330,ENSG00000010282,ENSG00000139780,1
331,ENSG00000010282,ENSG00000139914,1
332,ENSG00000010282,ENSG00000141161,1
333,ENSG00000010282,ENSG00000142661,1
334,ENSG00000010282,ENSG00000143028,1
335,ENSG00000010282,ENSG00000143318,1
336,ENSG00000010282,ENSG00000143632,1
337,ENSG00000010282,ENSG00000146147,1
338,ENSG00000010282,ENSG00000146809,1
339,ENSG00000010282,ENSG00000146926,1
340,ENSG00000010282,ENSG00000147166,1
341,ENSG00000010282,ENSG00000151729,1
342,ENSG00000010282,ENSG00000154358,1
343,ENSG00000010282,ENSG00000154415,1
344,ENSG00000010282,ENSG00000154553,1
345,ENSG00000010282,ENSG00000155657,1
346,ENSG00000010282,ENSG00000156885,1
347,ENSG00000010282,ENSG00000157119,1
348,ENSG00000010282,ENSG00000158022,1
349,ENSG00000010282,ENSG00000159173,1
350,ENSG00000010282,ENSG00000160097,1
351,ENSG00000010282,ENSG00000160808,1
352,ENSG00000010282,ENSG00000162461,1
353,ENSG00000010282,ENSG00000162494,1
354,ENSG00000010282,ENSG00000163092,1
355,ENSG00000010282,ENSG00000163126,1
356,ENSG00000010282,ENSG00000163157,1
357,ENSG00000010282,ENSG00000163380,1
358,ENSG00000010282,ENSG00000163827,1
359,ENSG00000010282,ENSG00000163833,1
360,ENSG00000010282,ENSG00000164122,1
361,ENSG00000010282,ENSG00000164309,1
362,ENSG00000010282,ENSG00000164440,1
363,ENSG00000010282,ENSG00000164708,1
364,ENSG00000010282,ENSG00000164879,1
365,ENSG00000010282,ENSG00000165192,1
366,ENSG00000010282,ENSG00000165887,1
367,ENSG00000010282,ENSG00000166343,1
368,ENSG00000010282,ENSG00000168333,1
369,ENSG00000010282,ENSG00000168334,1
370,ENSG00000010282,ENSG00000168509,1
371,ENSG00000010282,ENSG00000168530,1
372,ENSG00000010282,ENSG00000170162,1
373,ENSG00000010282,ENSG00000170290,1
374,ENSG00000010282,ENSG00000170681,1
375,ENSG00000010282,ENSG00000170807,1
376,ENSG00000010282,ENSG00000172399,1
377,ENSG00000010282,ENSG00000173991,1
378,ENSG00000010282,ENSG00000174429,1
379,ENSG00000010282,ENSG00000175084,1
380,ENSG00000010282,ENSG00000175564,1
381,ENSG00000010282,ENSG00000177354,1
382,ENSG00000010282,ENSG00000177752,1
383,ENSG00000010282,ENSG00000177791,1
384,ENSG00000010282,ENSG00000180209,1
385,ENSG00000010282,ENSG00000182533,1
386,ENSG00000010282,ENSG00000182676,1
387,ENSG00000010282,ENSG00000183091,1
388,ENSG00000010282,ENSG00000184544,1
389,ENSG00000010282,ENSG00000185105,1
390,ENSG00000010282,ENSG00000185271,1
391,ENSG00000010282,ENSG00000185482,1
392,ENSG00000010282,ENSG00000185739,1
393,ENSG00000010282,ENSG00000186335,1
394,ENSG00000010282,ENSG00000186439,1
395,ENSG00000010282,ENSG00000186628,1
